City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
90,Wamba,NG,78.73,Rain,8.93,8.6,Roma Zee Guest House Annex
94,Ozinki,RU,76.1,Clouds,51.18,49.68,at Rest
95,Dingzhou,CN,82.4,Clouds,38.51,115.0,宜家时尚宾馆
97,Port Elizabeth,ZA,78.8,Clear,-33.92,25.57,39 On Nile Guest House
98,Kapaa,US,78.8,Clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
101,Hithadhoo,MV,83.68,Clouds,-0.6,73.08,Scoop Guest House
102,Aku,NG,76.53,Clouds,6.71,7.32,Diewa Hotel And Resort
103,Arraial Do Cabo,BR,75.2,Clouds,-22.97,-42.03,Pousada Porto Praia
104,East London,ZA,80.6,Clear,-33.02,27.91,Tu Casa
106,Broome,US,80.01,Clouds,42.25,-75.83,Chenango Valley State Park
107,Ribeira Grande,PT,75.2,Clouds,38.52,-28.7,Quinta da Meia Eira
108,Victoria,HK,82.0,Rain,22.29,114.16,Mini Hotel Central
111,Pozo Colorado,PY,87.51,Clear,-23.49,-58.8,Hospedaje la Amistad
115,Port Blair,IN,82.94,Rain,11.67,92.75,Fortune Resort Bay Island
117,Champerico,GT,86.0,Clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
119,Sao Joao Da Barra,BR,77.0,Clouds,-21.64,-41.05,Pousada Porto De Canoas
120,Katsuura,JP,77.0,Clouds,35.13,140.3,Katsuura Hotel Mikazuki
121,Dingle,PH,77.76,Clouds,11.0,122.67,Camp Pasica
123,Phangnga,TH,78.8,Rain,8.45,98.53,Muang Thong Hotel
125,Virden,US,75.99,Clear,39.5,-89.77,Virden Nail Spa
128,Xinzhou,CN,75.29,Clouds,38.41,112.73,Shell Hotel - Xinzhou
129,Wyndham,US,90.0,Clear,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
130,Mandera,KE,85.5,Clouds,3.94,41.87,Kornesh Hotel and Lodging
131,Caborca,MX,82.99,Clouds,30.58,-111.1,Hotel Los Lagos
134,Faanui,PF,78.44,Clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Trairi,BR,87.85,Clear,-3.28,-39.27,Pousada Field Lilies - Trairi
138,Corrientes,AR,84.99,Clouds,-27.48,-58.83,Gran Hotel Guaraní
147,Ust-Ishim,RU,76.08,Clouds,57.69,71.17,"Velichko T.p., Gostinitsa"
149,Hirado,JP,80.01,Clouds,33.36,129.55,Samson Hotel
150,Cabo San Lucas,MX,86.0,Clouds,22.89,-109.91,Hotel Tesoro Los Cabos
153,Rockport,US,84.99,Clouds,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
154,Maryville,US,78.8,Clouds,35.76,-83.97,Holiday Inn Express & Suites Alcoa (Knoxville Airport)
159,Praia Da Vitoria,PT,77.0,Clouds,38.73,-27.07,Hotel Branco I
160,Kieta,PG,77.94,Clear,-6.22,155.63,
165,Shihezi,CN,83.93,Clouds,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
166,Nioro,GM,75.96,Rain,13.35,-15.75,
167,Ugoofaaru,MV,83.08,Clouds,5.67,73.0,Ungoofaaru Inn
169,Great Yarmouth,GB,75.99,Rain,52.61,1.73,Comfort Hotel Great Yarmouth
170,Linhares,BR,76.24,Clouds,-19.39,-40.07,Hotel Conceição
174,Alugan,PH,82.0,Clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
176,Plettenberg Bay,ZA,78.13,Clear,-34.05,23.37,Thanda Vista B&B
